1010,@kanno_kanno,「Vimを使い始めようと思うんですけど、おすすめを教えてください」,http://d.hatena.ne.jp/kanno_kanno/20121217/1355694191
61,@sonots,emacs使いがvimに入門して得た全ノウハウを公開します,http://blog.livedoor.jp/sonots/archives/21703346.html
56,@wiredool,vimでスペルを確認する,http://d.hatena.ne.jp/wiredool/20121212/1355315368
50,@Linda_pp,「立て！立つんだビムー！」,http://rhysd.hatenablog.com/entry/2012/12/19/001145
44,@kubosho_,自分が今まで使ってきたVimのカラースキーマの紹介,http://inputxoutput.com/vim-advent-calendar-2012/
23,@y_uuki_,Perl屋さんに便利なVim_Pluginを2つ書いた,http://yuuki.hatenablog.com/entry/2012/12/22/Perl%E5%B1%8B%E3%81%95%E3%82%93%E3%81%AB%E4%BE%BF%E5%88%A9%E3%81%AAVim_Plugin%E3%82%922%E3%81%A4%E6%9B%B8%E3%81%84%E3%81%9F
22,@jugglershu,XVimの紹介,http://nbp.jugglershu.net/2012/12/xvim.html
19,@igrep,押しにくいあそこを押そう,http://blog.livedoor.jp/igrep/archives/1596032.html
16,@vimtaku,if endif などが % で対応できる matchit.vim のハイライト plugin hl_matchit.vim 書いた,http://d.hatena.ne.jp/vimtaku/20121226/1356500063
16,@__papix__,痒いところに手が届いた!? vimテク(?)5選,http://blog.papix.net/entry/2012/12/14/042937
14,@dice_zu,Vimで検索をする度に検索語のハイライトを変える,http://daisuzu.hatenablog.com/entry/2012/12/10/001228
13,@chikatoike,VimGolfでハイスコアを取ったらトップの人のコメントが見れた話,http://d.hatena.ne.jp/chikatoike/20121219/1355931795
13,@hrsh7th,vimで簡単にバージョン管理システムを使いたい!,http://hrsh7th.hatenablog.com/entry/2012/12/18/152622
13,@kozo2,Vimのkeymap feature (果てはVimでのT-codeを支援するtcvime.vimとその最近追加された便利機能について) – Vim Advent Calendar 2012 24日目,http://kozo2.hatenablog.com/entry/2012/12/24/072652
12,@mfumi2,Vimでお絵描きプログラミング,http://d.hatena.ne.jp/mFumi/20121222/1356196437
10,@takuto1981,Vmail,http://d.hatena.ne.jp/takuto1981/20121225/1356443093
9,@ne_sachirou,Vimmerの末路への入り口,http://c4se.hatenablog.com/entry/2012/12/14/015556
5,@AmaiSaeta,このVim plugin達に感謝しなければ年を越せない!私が今年使い倒した2012年のベストを全部ご紹介！,http://amaisaeta.seesaa.net/article/309227466.html
3,@ujihisa,vimshellとujihisa.vim#3,http://vim-users.jp/2012/12/vim-advent-2012-ujihisa-1/
1,@altnight,Unite.vimを便利に使うたったひとつの考え方,http://atasatamatara.hatenablog.jp/entry/2012/12/30/191614
0,@syootaro,Vimでアウトライナー！「Unite-outline」と「VOom」,http://www.gcnote.jp/log/20131117-vim-outliner/
